title,brand,price,description,rating,image,feature
Darn Tough Light Hiker Micro Crew Socks - Men's,Darn Tough,$23.00,"These redesigned men's Darn Tough Light Hiker Micro Crew socks feature increased breathability with mesh panels, smooth ribbing, uppers that stay put and extended cushioning over the Achilles tendons.",4.6,https://www.rei.com/media/4454e3ce-e404-4801-8f11-4f00915896b7?size=784x588,"['Light cushioning is perfect for hikers looking for a little less volume; the socks are light and strong with a thin layer of cushioning along base of feet', 'True Seamless™ construction provides a smooth, performance fit to prevent slipping, bunching and blisters', ""Fine-gauge merino wool naturally regulates temperature, has antimicrobial properties and wicks moisture; it's warm in the winter, cool in the summer"", 'Micro Crew socks are a shorter take on the traditional crew height; these socks peek just above the top of standard hiking boots', ""Covered by manufacturer's lifetime warranty""]"
Patagonia Fleetwith Skort,Patagonia,$59.00,"For summer bike commuting, hiking and more, this active-inspired, multifunctional Patagonia Fleetwith skort is made of a stretchy, comfortable recycled polyester and spandex blend.",4.5,https://www.rei.com/media/805985c6-b2b6-4a96-89ef-0e32b042c975?size=576x768,"['Super-stretchy recycled polyester/spandex outer skirt has polyester/spandex inner shorts for mobility across a wide range of activities', 'Fabric also resists wrinkles and dries quickly', 'Durable water repellent (DWR) treatment helps moisture bead up on the surface', '2 front zippered drop-in pockets hold your passport and phone; concealed inside pocket stashes keys and cash', 'Faux-wrap front and side slit accommodates a higher step while hiking', 'Interior jersey shorts have a 4 in. inseam; skort has a curved hem that falls above the knee', 'Elastic waistband with exterior drawcord personalizes the fit']"
REI Co-op Midweight Base Layer Bottoms - Men's,REI Co-op,$24.83,"An ideal performance layer when the mercury drops, the men's REI Co-op Base Layer Bottoms boast a smooth face and low-bulk seams for easy layering and a brushed back for added warmth and comfort.",4.4,https://www.rei.com/media/7a7b9f46-dc86-48e3-9fe0-f8cde26c7537?size=576x768,"['Fabric wicks moisture and dries quickly to keep you comfortable', '4-way stretch delivers a flexible range of motion', 'Flatseam construction and a soft elastic waistband reduce bulk and chafing']"
KUHL Trekr Pants - Women's,KUHL,$99.00,"KUHL Trekr pants are made of a supple, luxurious fabric that has a natural appearance, mechanical stretch and UPF 50 sun protection.",4.4,https://www.rei.com/media/405e0e0a-6474-429f-b229-b102e3851c12?size=576x768,"['Brushed-face, woven fabric is peached for a soft feel, while the built-in stretch allows freedom of movement', ""When you don't need a full-length pant, the side seams cinch to Capri length (27 in.)"", 'Snap-closure back pockets; zippered thigh pockets; internal drawcord', ""KUHL Kurve fit makes them extremely comfortable, and the contoured waistband offers a rise that's slightly higher in the back and lower in the front for a great fit"", 'Straight fit; 15.5 in. bottom leg hem opening']"
Arc'teryx Cormac Logo Shirt - Men's,Arc'teryx,$70.00,"Designed for mountain treks in soaring temps, the men's Arc'teryx Cormac Logo shirt is a lightweight, moisture-wicking top that shields you from the sun while you speed up those switchbacks.",4.9,https://www.rei.com/media/d33a0074-d471-4089-8748-cc09c2fc76a6?size=576x768,"['Lightweight, gridded technical fabric manages moisture, stretches easily and offers next-to-skin comfort', 'Merrow stitches are strategically placed for enhanced comfort and structure', 'UPF 50+ fabric shields you from harmful UV rays', ""Arc'teryx bird logo across chest""]"
KUHL Silencr Pants - Men's,KUHL,$69.93,"Soft shell doesn't have to mean soft on technical performance or innovative technology. These breathable KUHL Silencr pants prove it, with 4-way stretch fabric that fends off both sun and light rain.",4.4,https://www.rei.com/media/a125d86d-7f12-4837-b65a-f99b3c3f9714?size=576x768,"['Ripstop soft-shell REFLEX™ fabric wicks moisture away and has a durable water repellent (DWR) finish to fend off light rain', ""Because REFLEX fabric doesn't use Lycra or elastic to achieve its stretch, the yarn absorbs less moisture and dries faster"", 'Fabric also boasts UPF 50 sun protection', '4-way mechanical stretch, articulated design and gusseted crotch allow freedom of movement', 'Waistband is lined with soft microchamois for next-to-skin comfort', '7 total pockets: 2 front hand, 1 coin, 2 back and 2 welt drop-in cell phone pockets', 'KUHL Full fit']"
Patagonia Nano Puff Insulated Hoodie - Women's,Patagonia,$279.00,"Crafted from premium eco-friendly materials, the Patagonia Nano Puff hoodie protects you and the planet, excelling as a micro-belay parka and doubling as an insulated jacket on quick alpine dashes.",4.4,https://www.rei.com/media/aceee1b4-ecfb-4b53-804f-2c2fdde1c466?size=576x768,"['Lightweight, bluesign™-approved  recycled polyester ripstop shell and lining fabric has a DWR (durable water repellent) finish to protect against moisture', '60 g PrimaLoft™ Gold Insulation Eco is made from 100% postconsumer recycled content, and is water-repellent, highly compressible and maintains warmth when wet', 'P.U.R.E.™ (Produced Using Reduced Emissions) technology provides excellent warmth for its weight and stays warm when wet', 'Brick quilting pattern with narrow horizontal quilt lines on side panels stabilizes insulation and uses durable thread for abrasion resistance', 'Center-front zipper has wicking interior storm flap and zipper garage at chin for next-to-skin comfort', 'Two zippered handwarmer pockets have cleanly finished zipper garages; zippered internal chest pocket doubles as a stuff sack with a reinforced carabiner clip-in loop', 'Under-the-helmet hood construction is light and simple', 'Drawcord-adjustable drop-tail hem seals in warmth']"
REI Co-op Sahara Convertible Pants - Boys',REI Co-op,$54.95,"When the trail steepens and the day warms up, the boys' REI Co-op Sahara convertible pants deal with it quickly and easily—zippers provide an instant transition from pants to shorts.",4.4,https://www.rei.com/media/4477a424-032f-4303-821e-87a311fdacda?size=576x768,"['Light, durable, quick-drying nylon/spandex fabric offers 2-way stretch for easy movement', 'Fabric offers UPF 50 sun protection and a durable water repellent (DWR) finish that beads up water', 'Internal buttons at waist make it easy to fine-tune the fit', '6 pockets! 2 hand pockets, 2 side cargo pockets, 2 back pockets', 'Button closure with zip fly', ""Product meets the bluesign® criteria, the world's leading system for managing the environmental and human health impacts of textile manufacturing"", 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
Arc'teryx Kyanite LT Hoodie - Women's,Arc'teryx,$149.00,"Get cozy in cool weather with the women's Arc'teryx Kyanite LT hoodie. Made with soft, stretchy fleece, it's a go-to layer for early-morning hikes and cold, crisp afternoon adventures.",4.7,https://www.rei.com/media/d7a59e5c-14c4-44ef-9f17-cd4a2a6eb547?size=576x768,"['Torrent™ stretch fleece gives lightweight warmth and is extremely soft next to skin', 'Merrow stitch construction reduces bulk and enhances comfort', 'Low-profile hood provides additional warmth', 'Chin guard protects chin and neck from zipper chafing', 'Zippered hand pockets stash your must-haves']"
REI Co-op XeroDry GTX Jacket - Men's,REI Co-op,$169.00,"Durable, lightweight and surprisingly quiet, the men's REI Co-op XeroDry GTX jacket is an easy-to-pack waterproof, breathable GORE-TEX shell—at a value only the co-op can provide.",4.3,https://www.rei.com/media/619ff3a5-7be7-4121-8df5-46f1635a4f71?size=576x768,"[""GORE-TEX PACLITE® gives you a windproof, waterproof and extremely breathable shell that's lightweight and easy to pack"", 'Durable water repellent (DWR) finish sheds drizzle', 'Articulation throughout for ease of movement', 'Zippered hipbelt-compatible hand pockets and convenient chest pocket keep essentials secure', 'Pockets are mesh lined to double as core vents', '2-point adjustable hood lets you fine-tune the fit and allows for improved vision', 'Hook-and-loop adjustable cuffs and hem drawcord seal out the elements']"
Patagonia Nano Puff Insulated Hoodie - Men's,Patagonia,$279.00,"The Patagonia Nano Puff hoodie excels as a micro-belay parka and doubles as an insulated jacket on quick alpine dashes. Crafted from premium recycled materials, it protects you and the planet.",4.3,https://www.rei.com/media/35020df5-7453-427c-a820-51ea8796be2c?size=576x768,"['Lightweight, bluesign™-approved  recycled polyester ripstop shell and lining fabric has a DWR (durable water repellent) finish to protect against moisture', '60 g PrimaLoft™ Gold Insulation Eco is made from 100% postconsumer recycled content, and is water-repellent, highly compressible and maintains warmth when wet', 'Brick quilting pattern with horizontal quilt lines on side panels stabilizes insulation and uses durable thread for abrasion resistance', 'Center-front zipper has wicking interior storm flap and zipper garage at chin for next-to-skin comfort', 'Two zippered handwarmer pockets have cleanly finished zipper garages; zippered internal chest pocket doubles as a stuff sack with a reinforced carabiner clip-in loop', 'Under-the-helmet hood construction is light and simple', 'Drawcord-adjustable droptail hem seals in warmth']"
Patagonia Down Sweater - Women's,Patagonia,$279.00,"Don't let the weather keep you inside. The women's Patagonia Down Sweater is lightweight, windproof and warm enough for cold-weather activities when you want a layer to keep the chill out.",0.0,https://www.rei.com/media/544fe42c-247b-47af-8645-73899fad3488?size=576x768,"['Durable shell fabric is made of 100% recycled polyester ripstop with a durable water repellent (DWR) finish', '800-fill-power Advanced Global Traceable goose down', 'Contoured fit has a longer-length hem and narrow horizontal quilt lines on side panels', 'Center-front VISLON® zipper has wicking interior storm flap and zipper garage at chin for next-to-skin comfort', '2 secure handwarmer pockets have VISLON zippers and garages', 'Comfortable nylon-bound elastic cuffs seal in warmth', 'Hem adjusts by pulling cord in handwarmer pockets and releases with cordlocks at front hem', 'Internal zippered chest pocket converts to stuff sack with carabiner clip-in loop for easy packing, carrying and storage']"
REI Co-op Merino Midweight Base Layer Top - Kids',REI Co-op,$49.95,"Oh so soft and not itchy, the kids' REI Co-op merino midweight base layer top is an ideal first layer for cold weather. It naturally regulates temp and is certified to the Responsible Wool Standard.",4.7,https://www.rei.com/media/09e214b0-9a3c-434f-8e84-ecde55a07bd9?size=576x768,"['Ultrafine 185 g merino wool offers a soft feel without the scratchiness', 'Merino wool naturally wicks away sweat, resists odors and dries quickly', 'UPF 30 sun protection shields against harmful UV rays', 'Flat seams eliminate chafing', 'Underarm gussets allow full range of movement', 'Designed to hug the body for optimum performance', 'Machine washable', 'Made in a Fair Trade Certified™ factory, which promotes safe working conditions and sustainable livelihoods', 'Made with wool certified to the Responsible Wool Standard (RWS), which requires that sheep are treated in accordance with leading animal welfare standards']"
The North Face Alta Vista Jacket - Women's,The North Face,$129.00,"Take your trail comfort to the next level with the women's The North Face Alta Vista jacket. Made with 100% recycled fabrics, it will quickly become your go-to hike shell.",4.5,https://www.rei.com/media/40aaef76-ad2e-4e65-88ce-e45d13e7f53c?size=576x768,"['100% recycled nylon features a non-PFC durable water repellent (DWR) finish to shed moisture', 'Attached 3-piece hood with adjustable cordlock', 'Exposed, waterproof center-front zip', 'Secure-zip chest pocket; internal drop-in pocket', 'Exposed, secure-zip hand pockets', 'Pit zippers allow quick venting', 'Side-hem adjust', 'Adjustable hook-and-loop cuffs', 'Printed liner', 'Stows in own hand pocket', 'Heat-transfer logo on left chest and back-right shoulder', 'Standard fit']"
prAna Halle Straight Pants II - Women's,prAna,$95.00,"Heading through sun, rain, rocks or heat? The women's prAna Halle Straight Pants II are the ones for the job. Now made with recycled stretch fabric, they're ready to scramble, scamper and explore.",4.2,https://www.rei.com/media/1fff0c8f-290d-416a-8216-6f6829c67923?size=576x768,"[""Now made with recycled nylon, ReZion™ fabric is tested to ensure it stacks up against the original; it's lighter to promote breathability and performance"", 'ReZion performance fabric resists abrasion and wrinkles while providing UPF 50+ sun protection; fabric has a subtle sheen, which helps to achieve maximum durability', 'PFAS-free durable water repellent (DWR) finish sheds moisture and stains', 'Fabric is bluesign® approved', 'Articulated knees enhance mobility', ""Front hip pockets; left-side coin pocket; back patch pockets with snap closures; on-seam pockets with an invisible zipper closure at wearer's right side"", 'Increased pocket depth for better functionality and ability to fit a phone with ease', 'Functional zip fly and button closure with interior twill tape drawstring; mid rise', 'Increased height of the rise and added room to the upper thigh offer added comfort and a more secure fit that performs better than ever', 'New low-profile plastic closure lays flat for added comfort and compatibility when wearing a climbing harness or backpack with hipbelt', 'Plus, the webbing on the button is now anchored with 4 bar tacks, distributing tension across the waistband for added strength and durability']"
REI Co-op Stormhenge Down Hybrid Jacket - Women's,REI Co-op,$180.93,"Wish your favorite puffy was waterproof? Wish granted. The women's REI Co-op Stormhenge down hybrid jacket bonds goose down and recycled-fiber insulation to a HydroWall™ waterproof, breathable shell.",4.5,https://www.rei.com/media/6502f0dc-10f4-4956-920d-d4a0f84dc1de?size=576x768,"['REI-exclusive HydroWall 2-layer waterproof, breathable nylon shell with fully sealed seams provides burly weather protection', '850-fill-power goose down is highly compressible and provides abundant warmth for its light weight', 'Down has also been treated with a durable water repellent (DWR) to help it resist water', 'Recycled-fiber synthetic insulation is mapped to areas of high heat and high use because it insulates when wet and dries fast', ""Both down and synthetic insulation is mapped to the body, providing warmth where it's needed and reduced bulk where it's not"", 'Sleeping bag–like draft tube at neck stops heat from escaping', 'Bonded baffles welded to the shell trap warmth and eliminate cold spots', 'Insulated 3-way adjustable hood is helmet-friendly and provides protection and warmth', 'Hood and hem adjust easily with gloves thanks to oversize cordlocks', 'Pit zips and VISLON® waterproof zipper act as vents to dump core heat as needed', ""Seam-free shoulders won't chafe under pack straps"", 'Adjustable cuffs seal out the elements; synthetic insulation prevents wet-out at cuffs', 'Internal zippered pocket, internal drop-in pocket, zippered chest and hand pockets securely stow essentials', ""Hand pockets are placed strategically to work with a pack's waistbelt"", 'Made to reflect our love for people and the planet through the use of recycled and bluesign®-approved materials, RDS-certified down and a Fair Trade Certified factory']"
Arc'teryx Delta LT Jacket - Men's,Arc'teryx,$149.00,The men's Arc'teryx Delta LT jacket delivers cartloads of coziness without being bulky. Polartec® Classic fleece seals in the warmth with lightweight and compact construction.,4.5,https://www.rei.com/media/991c270f-01c7-4786-9300-977d883e4994?size=576x768,"['Polartec Classic 100 micro velour small grid construction provides a high warmth-to-weight ratio', 'High collar provides warmth and layers easily; chin guard protects against chafing', 'No Slip Zip™ keeps main zipper from self-opening', '2 zippered hand pockets; laminated zippered sleeve pocket', 'No-lift gusseted underarms; drop back hem']"
"KUHL Kruiser Shorts - Men's 10"" Inseam",KUHL,$70.00,"Whether your explorations take you to the trail, swimming hole or pub, the high-performing KUHL Kruiser 10 in. shorts are ready with their swim trunk styling, light fabric and well-appointed pockets.",4.3,https://www.rei.com/media/f8c9d8dd-94c9-48af-b2ba-3374ff10a634?size=576x768,"['Lightweight, 2-way stretch textured fabric', 'Mesh elastic waistband dries quickly', 'External drawcord lets you fine-tune the fit', 'Include front hand pockets and a secure back zippered pocket for stowing essentials', 'Drop-in cellphone pocket on the side keeps your device close']"
Fjallraven High Coast Wind Jacket - Men's,Fjallraven,$137.93,"Light, versatile and packable, the men's Fjallraven High Coast jacket blocks out cold winds while effectively letting out moisture from within on light trekking and day trips.",4.3,https://www.rei.com/media/c2aac4cc-3970-45c2-8cfa-16721708bf32?size=576x768,"[""Made from light yet strong HC-Lite fabric (recycled polyamide/organically grown cotton) that's wind-resistant, well-ventilated and quick-drying"", 'Center-front zipper with interior flap', 'Snug-fitting, adjustable hood', 'Vertical zippered chest pocket; 2 zippered hand pockets with mesh lining', 'Elastic binding at sleeve cuffs', 'Drawstring adjustment at hem']"
Rab Kangri GORE-TEX Jacket - Men's,Rab,$244.93,"This waterproof shell jacket uses GORE-TEX to keep you dry when the storm rolls in. Ideal for long days in the mountains, the men's Rab Kangri jacket provides robust, reliable weather protection.",4.0,https://www.rei.com/media/33d977d3-51d2-4298-b7c4-b4c8171fbe1b?size=576x768,"['Recycled 3-layer GORE-TEX fabric provides 28,000 mm waterproof/breathable protection', 'Fully adjustable mountain hood with wired and laminated peak shields you from the weather', 'Fleece-lined chin guard adds next-to-skin comfort', 'YKK AquaGuard® VISLON® front zipper with internal stormflap seals out wind and rain', '2 YKK AquaGuard zippered hand pockets (1 with internal key clip) stash your must-haves', '2-way YKK AquaGuard pit zips help you vent heat and stay cool', 'Antisnag hook-and-loop adjustable cuffs customize your fit', 'Elasticated hem and waist drawcord adjust with a single hand', 'Reflective branding on chest and back', 'Regular fit']"
Fjallraven Expedition X-Latt Insulated Jacket - Women's,Fjallraven,$190.00,"Whether you're planning a long trek or heading out just for the day, the women's Fjallraven Expedition X-Latt insulated jacket helps keep you warm when your own steam isn't quite enough.",4.6,https://www.rei.com/media/7fb13dda-4fe3-45dc-af5c-a638bd72ced3?size=576x768,"['Superlight and packable insulated jacket is a great mid layer on active winter excursions or by itself on warmer days', 'Shell fabric and lining are made from 100% recycled polyamide', 'PFC-free durable water repellent (DWR) finish helps moisture bead up on the surface', '100% recycled polyester insulation continues to insulate even when damp', 'Front zipper with inside placket; elastic drawcord at the hem', '2 zippered hand pockets; 1 zippered inside pocket']"
Mountain Hardwear Crater Lake Hoodie - Men's,Mountain Hardwear,$60.00,"Sun-stopping UPF 50+ protection combines with a supersoft feel and lightweight, flexible construction to make the men's Mountain Hardwear Crater Lake hoodie an ideal companion for fun in the sun.",4.3,https://www.rei.com/media/47986db0-66a4-4b15-8331-4aa12530d358?size=576x768,"['Solar knit fabric wicks moisture, dries quickly and feels buttery soft next to skin', 'UPF 50+ fabric shields against harmful UV rays', 'Full hood slips on and off easily without restricting peripheral vision', 'Dropped shoulders provide extra mobility and unrestricted movement', 'Thumbhole cuffs add warmth to your wrists', 'Drawcord ties at hem allow length adjustment', 'Length at center back: 28 in.', 'Standard fit']"
